Date,TEMP,HUMI,RAIN,WIND,AIRP,SOLA,SUNH
2015/1/1,15.9,56,0,7.2,1024.5,16.59,9.5
2015/1/2,14.6,69,0,8.7,1025,15.53,9.5
2015/1/3,15.1,63,0,9,1022.3,16.42,9.6
2015/1/4,17.1,78,0,9.1,1017,15.4,7.8
2015/1/5,18.8,81,0,10.6,1014.5,8.15,0.6
2015/1/6,19.8,85,0,2.3,1014.8,14.96,7.8
2015/1/7,17.5,77,0.2,5.5,1019.7,3.55,0
2015/1/8,15.1,65,0,7.1,1025.1,16.34,8.9
2015/1/9,14.9,69,0,6.5,1025,15.22,8.4
2015/1/10,15.8,65,0,8.3,1023.4,15.83,9.5
2015/1/11,16.3,64,0,5.8,1022.3,9.86,3.1
2015/1/12,13.5,81,16,10.9,1021.5,1.63,0
2015/1/13,12.1,90,27,5.7,1020.9,3.16,0.1
2015/1/14,13.7,59,0,9.9,1022,18.49,9.8
2015/1/15,14.2,64,0,4.8,1022.7,18.06,9.8
2015/1/16,16.6,66,0,3.9,1022.4,17,9.4
2015/1/17,15.5,61,0,10.6,1024.1,17,9.6
2015/1/18,15.8,60,0,8.6,1023.7,16.09,9
2015/1/19,15.6,48,0,7.9,1022.4,17.07,8.8
2015/1/20,15.2,66,0,7.7,1021.3,14.69,6.8
2015/1/21,16.4,70,0,1.6,1020.9,10.9,5.6
2015/1/22,17.2,42,0,8.9,1021.5,18.14,9.9
2015/1/23,15.6,67,0,8.3,1020.6,17.7,9.9
2015/1/24,16.5,77,0.3,12.1,1019.1,9.05,1.5
2015/1/25,17.9,79,0.1,11.2,1018.9,9.9,1.5
2015/1/26,18.2,83,0,9.5,1018.5,16.76,8.8
2015/1/27,17.8,84,0,10.2,1017.9,10.88,4.4
2015/1/28,16.3,78,0,12.3,1018.8,14.49,5.2
2015/1/29,16.2,79,0,10.3,1019.6,18.09,10
2015/1/30,15.9,80,0,4.8,1021.9,9.71,3.8
2015/1/31,14.5,83,0,6.8,1025.6,4.81,0.2
2015/2/1,14.4,78,0,7.4,1026.3,6.85,0.7
2015/2/2,15.8,76,0,7.7,1025.4,17.33,8.6
2015/2/3,16.7,80,0,8.2,1024.6,17.52,8.8
2015/2/4,15.6,80,0,4.9,1023.5,3.84,0.3
2015/2/5,13.2,58,0.2,7.3,1024.9,10.16,3
2015/2/6,12.6,68,0.3,6.2,1024.5,7.63,1.4
2015/2/7,15.7,70,0,8.1,1021.7,12.82,3.5
2015/2/8,15.7,46,0,9.7,1023.2,17.34,8.9
2015/2/9,14,68,0,11,1025.2,16.96,9.2
2015/2/10,13.6,70,0,9,1022.2,16.55,9.1
2015/2/11,15.6,68,0,5.4,1018.7,12.51,4.5
2015/2/12,16.9,55,0,4.8,1018.2,18.13,9.7
2015/2/13,17.1,48,0,8.3,1018.3,19.49,10.3
2015/2/14,18.1,50,0,12.7,1016.9,13.69,4.9
2015/2/15,18.7,85,3.7,6.4,1016.2,3.48,0
2015/2/16,19.2,91,0,2,1016.5,8.24,1.6
2015/2/17,18.7,87,0,6.8,1016.7,11.57,4.2
2015/2/18,17.6,78,0,13,1019.1,8.18,1.4
2015/2/19,16.6,78,0,18.9,1020.3,7.76,0.3
2015/2/20,17.2,85,0,12.6,1018.3,9.65,0.3
2015/2/21,19.1,91,0.3,5.8,1015.5,6.58,0
2015/2/22,19.9,95,16.4,5.4,1016.1,5.71,0.2
2015/2/23,18.2,96,9.1,12.5,1015.5,8.05,0.4
2015/2/24,18.3,96,0.1,11.5,1014.8,8.1,0.2
2015/2/25,19.3,97,1.5,9.5,1014.1,7.45,0.4
2015/2/26,21.3,91,0,6.5,1014.2,13.13,5.4
2015/2/27,18.5,97,1,12.9,1015.8,3.13,0
2015/2/28,17.8,93,0.2,12.2,1017.3,8.3,0.2
2015/3/1,18.6,72,0,5,1019.4,8.02,1.2
2015/3/2,16.7,87,0.2,10.2,1016.4,4.88,0
2015/3/3,18.9,89,0.4,8.9,1012.4,9.1,1.4
2015/3/4,16.5,95,0.5,12.3,1015.1,2.97,0
2015/3/5,15.3,99,3.4,18.3,1016.6,4.24,0
2015/3/6,16,98,0.1,12.6,1017,4.16,0
2015/3/7,16.8,94,0.2,9.9,1018,6.88,0
2015/3/8,18.3,87,0,12,1017.9,13.59,2.4
2015/3/9,20.6,84,0,3.8,1018.5,17.33,7.7
2015/3/10,17,72,0,13.8,1022.1,13.38,4.1
2015/3/11,15.4,83,0.5,9.2,1021.9,5.97,0.1
2015/3/12,14.9,92,5.6,5.8,1020.6,3.39,0
2015/3/13,16.6,76,0,14.8,1019.1,7.36,0
2015/3/14,19.1,84,0,11.7,1018.4,5.44,0
2015/3/15,20.6,95,0,7.1,1016.5,7.03,0.2
2015/3/16,21.5,95,0,8.3,1015.7,11.38,0.8
2015/3/17,21.5,95,0,11.4,1013,10.92,1.5
2015/3/18,22.4,94,0,8.2,1011.6,7.8,0.8
2015/3/19,23.7,90,0,4.1,1013.1,14.72,5.1
2015/3/20,23.2,87,0,4.4,1015.3,17.48,8.1
2015/3/21,22.2,88,0,3.8,1016.7,16.51,7.5
2015/3/22,20.1,82,0.2,10.8,1017.9,7.18,0
2015/3/23,20.2,63,0,13.5,1018.9,13.86,2.6
2015/3/24,18.9,76,0,12.9,1022.5,16.15,5.4
2015/3/25,17.3,77,0.1,10.4,1024.2,3.88,0
2015/3/26,18.2,81,3.7,5.3,1024.2,6.95,0
2015/3/27,20,88,17,1.2,1021.6,8.22,2.4
2015/3/28,20.6,82,0,8.3,1018.4,19.55,6.5
2015/3/29,21.8,82,0,6.4,1016.2,19.22,6.7
2015/3/30,22.3,89,0,9.5,1014.9,14.51,3.8
2015/3/31,22.8,91,0,5.8,1013.9,11.69,1.6
2015/4/1,23.9,89,0,6.3,1012.2,12.16,1.5
2015/4/2,25.1,85,0,6.4,1008.5,13.67,2.1
2015/4/3,25.5,85,0,5.5,1007.6,6.1,0.5
2015/4/4,26,84,0,5,1009.8,12.74,2.1
2015/4/5,25.5,81,0,7.5,1011.3,25.32,10.4
2015/4/6,26,80,0,4.1,1011.4,23.17,11.1
2015/4/7,24.2,84,0.1,10.9,1013.7,13.31,4.6
2015/4/8,17.9,75,8.8,9,1018.3,4.97,0
2015/4/9,17.2,88,0.4,6.6,1017.8,3.66,0
2015/4/10,17.5,86,0.6,4.3,1017.9,3.39,0
2015/4/11,16.4,96,50.6,4.3,1019.1,3.06,0
2015/4/12,19.2,79,0.9,3.1,1019.6,14.26,3.1
2015/4/13,22.3,52,0,5,1018.7,25.44,11.1
2015/4/14,21.1,37,0,7.9,1018.7,27.49,11.3
2015/4/15,21.2,55,0,5.1,1016.1,26.91,11.5
2015/4/16,22,70,0,4.7,1015,25.03,11.1
2015/4/17,23.2,74,0,5.7,1012.4,25.85,11.2
2015/4/18,25,86,0,9.8,1010.1,9.55,1.7
2015/4/19,26.3,83,0,7.5,1008.6,4.7,0.2
2015/4/20,25.9,86,0.1,6.9,1008,7.21,1.1
2015/4/21,23.3,73,0.1,5.8,1012.7,10.76,0.4
2015/4/22,22.5,75,0,9.8,1017.1,16.8,4.6
2015/4/23,22.1,63,0,9.1,1018.4,5.57,0
2015/4/24,23.8,70,0,5.1,1017.6,22.08,8.7
2015/4/25,23,78,0,9.5,1017.1,16.97,4.6
2015/4/26,23.2,76,0,9.2,1016.9,22.42,9.1
2015/4/27,24,79,0,5,1014.3,23.35,10.6
2015/4/28,25,80,0,5.8,1011.7,19.19,6.7
2015/4/29,26,82,0,6.3,1011.1,23.23,9.8
2015/4/30,26.9,79,0,5.5,1011,23.96,10.1
2015/5/1,26.7,82,0.8,7.3,1010.3,14.74,5
2015/5/2,27.2,79,0,8.5,1009.5,12.05,2.5
2015/5/3,28,79,0,6.7,1009.7,17.54,5.2
2015/5/4,27.8,80,0,7.3,1010.1,16.74,5.5
2015/5/5,26.7,84,3.3,7.8,1008.9,10.11,1.6
2015/5/6,26.3,87,1,7.6,1008.5,9.36,1.3
2015/5/7,27.6,84,0.5,6.7,1009.7,11.62,3
2015/5/8,27.9,81,0,9,1008.7,11.45,1.4
2015/5/9,26.8,84,7.8,8.1,1008.5,11.27,2.1
2015/5/10,26,89,23.2,7,1009.7,10.24,1.1
2015/5/11,25.1,92,50.5,8.3,1010.3,12.6,1.9
2015/5/12,25.5,72,0.1,6.4,1012.2,21.26,7.6
2015/5/13,26,84,0,10.2,1012.2,17.18,4
2015/5/14,28.1,79,0,7.8,1012.1,22.61,8.4
2015/5/15,28.6,78,0,7.9,1011.4,18.61,6
2015/5/16,26.4,88,16.6,4.5,1009.9,5.73,0.5
2015/5/17,26.1,87,6.1,5.7,1008.3,9.17,1.4
2015/5/18,27.8,82,1.2,9.3,1007.9,9.13,0.8
2015/5/19,28.1,84,1.6,11.9,1006.9,5.34,0.4
2015/5/20,27.4,89,111,9.8,1006.2,4.26,0.3
2015/5/21,23.6,92,12.3,13.6,1008.4,5.28,0
2015/5/22,22.9,94,1,13.4,1008.8,6.19,0
2015/5/23,24.2,99,160.3,5.9,1006.2,1.5,0
2015/5/24,26.3,94,10.1,3.1,1005.8,8.93,0.6
2015/5/25,28.2,86,29.5,3.5,1006.6,19.01,5.9
2015/5/26,26.3,96,90.9,4.5,1008.3,2.63,0
2015/5/27,28.8,84,0.8,10.3,1007,14.06,3.3
2015/5/28,29.9,80,1.8,9,1005.3,24.43,8.3
2015/5/29,30,78,0,7.8,1006.5,15.43,4.8
2015/5/30,29.5,81,3.1,7.7,1007.5,23.1,8
2015/5/31,28.9,84,5.5,5.7,1007.3,13.03,2.6
2015/6/1,28.9,83,5.5,8.9,1007.9,7.1,0.4
2015/6/2,29.1,81,4.6,8.6,1009.3,15.39,4.2
2015/6/3,29.5,77,0.6,8.6,1010.2,27,10.6
2015/6/4,29.5,78,0,8.5,1008.9,27.52,11.1
2015/6/5,28.9,79,0,7.5,1007.3,16.81,5
2015/6/6,29.3,78,0.6,6.7,1007.7,19.36,5.9
2015/6/7,29.5,77,0,8.4,1009,17.02,5.1
2015/6/8,29.7,76,0.2,9.4,1008.1,21.48,7.5
2015/6/9,29.8,77,0,8.7,1007.2,19.04,6.2
2015/6/10,29.4,82,9.4,7.2,1007.3,13.57,3.8
2015/6/11,29.9,80,2.3,7.3,1008.2,17.55,5.5
2015/6/12,28.6,85,77.5,6.6,1008.5,19.1,6.7
2015/6/13,29.6,78,0,7.2,1007.9,15.89,4.9
2015/6/14,29.4,79,1.6,7.5,1008.3,17.75,4.9
2015/6/15,29.5,78,3.1,5,1009.4,18.81,6.6
2015/6/16,29.6,77,0,7.6,1008.2,24.53,9.9
